NAME                                       DISPLAY NAME  DEFAULT CHANNEL
3scale-community-operator                                threescale-2.13
syndesis                                                 latest
t8c                                                      stable
tagger                                                   alpha
tempo-operator                                           alpha
tf-controller                                            stable
tidb-operator                                            stable
trident-operator                                         stable
trustify-operator                                        alpha
ucs-ci-solutions-operator                                alpha
universal-crossplane                                     stable
varnish-operator                                         alpha
vault-config-operator                                    alpha
verticadb-operator                                       v2-stable
victoriametrics-operator                                 beta
virt-git-sync                                            alpha
visionone-containersecurity                              stable
volume-expander-operator                                 alpha
wandb-operator                                           stable
windup-operator                                          alpha
yaks                                                     alpha
